SellerRating,Duration,ClosePrice,OpenPrice,Competitive,EndDay,Currency,Category,Category.Art.Collectibles,Category.Books,Category.Clothing.Toys,Category.Coins.Stamps,Category.Computer.Electronics,Category.EverythingElse,Category.Health.Beauty,Category.Home.Garden,Category.Jewelry,Category.Music.Movie.Game,Currency.nonUS,EndDay.Weekend
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3249,5,0.01,0.01,0,Week,US,Music/Movie/Game,0,0,0,0,0,0,0,0,0,1,0,0
3115,7,0.01,0.01,0,Week,US,EverythingElse,0,0,0,0,0,1,0,0,0,0,0,0
3115,7,0.01,0.01,0,Week,US,EverythingElse,0,0,0,0,0,1,0,0,0,0,0,0
3115,7,0.01,0.01,0,Week,US,EverythingElse,0,0,0,0,0,1,0,0,0,0,0,0
3115,7,0.01,0.01,0,Week,US,EverythingElse,0,0,0,0,0,1,0,0,0,0,0,0
3115,7,0.01,0.01,1,Week,US,EverythingElse,0,0,0,0,0,1,0,0,0,0,0,0
3115,7,0.01,0.01,1,Week,US,EverythingElse,0,0,0,0,0,1,0,0,0,0,0,0
